1,person,neg,low,,0,1,2
1,person,neg,low,,1,2,2
1,person,neg,low,,2,4,47
2,person,neg,high,,3,1,42
2,person,neg,high,,4,42,47
2,person,neg,high,,5,47,47
2,person,neg,high,,6,49,49
3,person,neg,low,,7,1,50
4,person,neg,low,,8,1,7
4,person,neg,low,,9,7,15
4,person,neg,low,,10,15,50
5,person,neg,low,,11,1,5
5,person,neg,low,,12,5,45
5,person,neg,low,,13,45,45
5,person,neg,low,,14,47,48
6,person,neg,low,,15,1,4
6,person,neg,low,,16,6,26
6,person,neg,low,,17,28,48
7,person,neg,high,,18,1,37
7,person,neg,high,,19,39,50
8,person,neg,low,,20,1,14
8,person,neg,low,,21,14,14
8,person,neg,low,,22,16,50
9,person,neg,low,,23,1,9
9,person,neg,low,,24,9,28
9,person,neg,low,,25,30,49
10,person,neg,low,,26,1,49
11,person,neg,low,,27,1,40
11,person,neg,low,,28,42,50
12,person,neg,high,,29,1,9
12,person,neg,high,,30,11,17
12,person,neg,high,,31,17,17
12,person,neg,high,,32,19,39
12,person,neg,high,,33,39,48
13,person,neg,low,,34,1,10
13,person,neg,low,,35,10,10
13,person,neg,low,,36,12,23
13,person,neg,low,,37,23,23
13,person,neg,low,,38,25,48
14,person,neg,high,,39,1,49
15,person,neg,low,,40,1,49
16,person,pos,low,,41,1,12
16,person,pos,low,,42,14,48
17,person,neg,low,,43,1,45
17,person,neg,low,,44,45,45
17,person,neg,low,,45,47,49
18,person,neg,low,,46,1,48
19,person,neg,low,,47,1,5
19,person,neg,low,,48,7,40
19,person,neg,low,,49,40,47
19,person,neg,low,,50,47,50
20,person,neg,low,,51,1,9
20,person,neg,low,,52,11,12
20,person,neg,low,,53,12,49
21,person,neg,high,,54,1,46
21,person,neg,high,,55,46,51
22,person,neg,low,,56,1,4
22,person,neg,low,,57,4,49
23,person,neg,low,,58,1,49
24,person,neg,low,,59,1,43
24,person,neg,low,,60,43,43
24,person,neg,low,,61,45,49
25,person,neg,low,,62,1,48
26,person,neg,low,,63,1,23
26,person,neg,low,,64,23,23
26,person,neg,low,,65,25,50
27,person,neg,low,,66,1,5
27,person,neg,low,,67,5,5
27,person,neg,low,,68,7,19
27,person,neg,low,,69,21,49
28,person,neg,low,,70,1,50
29,person,neg,low,,71,1,36
29,person,neg,low,,72,38,39
29,person,neg,low,,73,41,42
29,person,neg,low,,74,42,42
29,person,neg,low,,75,44,50
30,person,neg,low,,76,1,28
30,person,neg,low,,77,28,28
30,person,neg,low,,78,30,31
30,person,neg,low,,79,31,48
31,person,neg,high,,80,1,17
31,person,neg,high,,81,19,48
32,person,neg,low,,82,1,27
32,person,neg,low,,83,29,52
33,person,neg,low,,84,1,2
33,person,neg,low,,85,2,16
33,person,neg,low,,86,16,16
33,person,neg,low,,87,18,50
34,person,neg,low,,88,1,50
35,person,neg,low,,89,1,36
35,person,neg,low,,90,36,51
36,person,neg,low,,91,1,15
36,person,neg,low,,92,15,29
36,person,neg,low,,93,31,48
37,person,neg,low,,94,1,48
